id_user,aov,return_rate,delivery_delay,payment_method,most_purchased_product,age,churn
dd43f19d-47f3-45e2-abc0-5eff70708126,1192.7108396131266,0.054347956222917375,0.1708704860989329,cash,normal_air,46,0
638245b3-4665-4d38-b838-4a2746bc7ee7,979.0602310729579,0.01095134136462693,0.08237517300561369,cash,normal_air,48,0
c9bb8ccc-f7c0-4fb7-a7f1-79699e4fca45,944.840444280793,0.021588656216156223,0.02971713497263744,credit_card,normal_air,59,0
20367188-4344-4988-8653-b549e8ad455d,908.9566685346307,0.04736248193001463,0.13901204834466147,cash,normal_air,38,0
7c31091b-275d-487c-a127-b4a10ddffe3c,805.3331446911477,0.016380804745914877,0.08765180129182713,credit_card,normal_air,20,1
de475778-8cf5-46a9-95e0-2c4b75ee73bf,837.3211240050646,0.0750393397912464,0.08503067028605311,credit_card,normal_air,62,1
5bbae0da-7c8d-4c0f-9f8f-593e0645bca9,798.0348616053774,0.21371889230498803,0.3432862442012118,cash,air_plus,50,1
fe3ff2dc-b1d7-458a-9c73-5fc5d868169f,960.3975008129145,0.05332174993946884,0.017298695879709676,credit_card,normal_air,62,0
6295b485-d1f2-4488-9e34-fa4866ee8c99,1128.4685532346393,0.006146783435007508,0.17413184870535808,credit_card,normal_air,57,0
95d3c51b-4e51-4897-82ef-db0b883b21e3,992.7473824094701,0.026400808934687284,0.09664869989444747,credit_card,normal_air,57,0
a0eba510-01f4-4b69-8815-baf46ff767f2,1098.6317083030929,0.023069428315735687,0.050172573053976995,cash,normal_air,66,0
761232ac-0788-4909-b2f0-bbfb8e3b4f06,998.9763441432284,0.045575451363639295,0.01598677837285194,credit_card,air_plus,67,0
4f61bd3b-2579-4a6e-ac76-d0ffe1a014a4,894.6191700850416,0.023621787340484902,0.11787619308272669,credit_card,normal_air,27,1
63f6be1c-ae38-4a67-84c1-5b03a4f5df1e,862.9464294823911,0.005527941154154725,0.030452366351219375,cash,normal_air,50,0
6bb5c12f-d371-4756-8a00-bd2ba17484b5,1033.829197505051,0.05930300269939427,0.130423494547616,cash,normal_air,31,0
fcfc12d0-4da0-48cd-a122-37ffc6da8537,1088.7533637052632,0.013507240383830067,0.3514501473798671,credit_card,normal_air,50,0
bd0bd949-cb10-4061-a055-67d29d55a706,1090.04522406359,0.06690495748792064,0.1839562379717693,credit_card,normal_air,42,0
ca10d724-7dbd-4f17-9705-f33b0945073a,1198.7819894013,0.010892267969317257,0.05571343582652114,cash,normal_air,54,0
a20ee14e-5a76-4e4a-a6a5-1018d068b400,948.9306678370647,0.0464851946555852,0.16891733677646054,credit_card,normal_air,36,1
3611ccb4-4945-4a46-9c8c-e790e15a3e7c,972.1039606511135,0.00869589776287058,0.3102459930407165,cash,normal_air,53,0
8e9d559f-6d9b-48b8-95e9-5d536247bef9,1101.611853171416,0.011607718927029578,0.0833561598879729,credit_card,normal_air,66,0
433c3394-a03b-4444-9519-ef3f0d4c5b8b,1004.3262724242105,0.034809141702369366,0.24014177762766875,credit_card,normal_air,45,0
61b2dde0-b309-40de-b519-426c490b8d0b,1071.4628805401685,0.036046468758926864,0.19002282947374263,credit_card,normal_air,32,0
67064f15-573f-4a73-a8d8-8766aa1edc51,825.7246536068916,0.0724554626794638,0.11292680929624287,credit_card,air_plus,49,1
eacfbe30-b443-48d8-a250-a0267268d85c,810.1717545990682,0.02216367895468867,0.15626755762843103,credit_card,normal_air,57,1
